연번,용어명,용어설명,유사용어
1,가공삭도,"가공삭도는 단선식과 복선식이 있다. 단선식은 양쪽에 있는 드럼에 연결된 메인(main)로우프가 연속적으로 같은 방향으로 움직이게 되어 있고, 이 로우프 위에 캐리어를 달아 광석을 운반하는 방향에는 광석이 담긴 캐리어를 매달고, 반면 빈 캐리어는 반대 방향에 걸게 되어 있다. 복선식은 움직이지 않는 굵은 로우프 위에 도르래가 달린 캐리어를 달고, 그 밑에 이 캐리어를 잡아당기는 가는 로우프에 의하여 가동시키게 되어 있다. 단선식은 시간당 운반 능력이 약20톤 정도이지만 복선식은 200톤 까지도 처리할 수 있기 때문에, 운반해야 할 양이 많으면 복선식으로 하는 것이 좋다. ① 단선식 : 한 개의 와이어로프를 고리 모양으로 하여 운반기를 이것에 고정시키고, 와이어로프를 순환 또는 왕복시키는 방식이며, 스키장의 리프트는 이 방식에 속하는 것이 많다. ② 복선식 : 강력한 지지삭(支持索)을 팽팽하게 쳐놓고, 이 지지삭에 도르래[滑車]를 통해 운반기를 매달고, 따로 고리 모양의 예인삭을 운반기에 장치하여, 이 예인삭을 왕복 또는 순환시켜서 운반기를 이동시키는 방식이다. ③ 3선식 : 복선식의 예인삭을 2개로 한 것, 또는 하나의 예비 예인삭이 있는 것으로서, 그만큼 안전성이 높다. ④ 4선식 : 지지용 로프가 2개, 예인삭이 2개 있는 것으로, 거의 사용되지 않는다. 가공삭도의 지주(支柱)와 지주 사이의 거리(지주간 거리)는 600∼1,000 m의 것이 많으나, 목재운반용에는 중간에 지주를 많이 세워서 전장 5km를 넘는 것도 있다. 가공삭도에 사용되는 와이어로프의 굵기는 지주간 거리나 하물의 무게에 따라 다르지만, 비교적 중량물을 운반하는 임업용은 지름 18~34mm의 강철삭이 사용된다. 와이어로프는 운반중에 일어나는 충격이나 마모에 의해서 절단되지 않도록 안전도를 충분히 고려해야 한다. 가공삭도에는 전용삭도(專用索道)와 영업용 삭도가 있으며, 전용삭도에는 광산용·임업용·공장구내용·재탄(載炭) 및 저탄용·토목건축공사용·선박용·군사용 등이 있고, 영업용 삭도는 일정한 요금을 받고 화물이나 여객을 운반하는 것이다. 가공삭도의 설치 및 운영은 1977년 12월 31일 공포된 삭도·궤도법의 규정에 따라야 한다.","架空索道,aerial cableway"
2,가공선식전기기관차,"광산에서 사용되고 있는 기관차의 한 종류이다. 가공선식전기기관차는 운행비가 가장 싸고, 효율이크며, 고장률이 작아 주 운반갱도에서 가장 많이 사용된다. 무게는 5-10톤이 대부분이다.",架空線式電氣機關車
3,가도,"탄을 캐낸 자리, 즉 탄을 캐낸 길로서, 특히 천장이 내려앉기 쉽고 갑작스레 하중을 받을 수 있는 위험한 곳이다.",Gate road
4,가동연인원,1년간 전 종업원이 실제로 작업한 가동공수의 총합계를 말함.,可動延人員
5,가동조오,광석을 파쇄하는 브레이크형 조오 크러셔 기계부분에서 고정조오(fixed jaw)와 조화를 이루어 광석을 파쇄하는 부분.,Movable jaw
6,가루다이너마이트,"NG(니트로 글리세린)의 함유량이 작아 교질화되지 않은 가루 상태의 폭약으로, 흡수성이 크며, 젤라틴 다이너마이트보다 둔감하다. 이것은 메탄가스 또는 석탄 미립자에 대한 안전도가 높기 때문에, 탄광에서 채탄용으로 많이 사용되고 있다. 포장은 종이봉투에 넣어서 파라핀 방습 가공을 하고, 5-10개를 포장하여 포장전체를 방습 가공한다.",Powdery dynamite
7,가솔린기관차,디젤기관차와 함께 내연 기관차로 분류된다. 연기와 가스가 배출되어 갱내에서보다 갱 밖에서 주로 사용된다.,機關車
8,가스압,"발파에 있어 폭파에 의한 파괴도 있지만 고압의 가스압에 의해서도 파괴된다. 즉 고압의 가스압은 암반에 응력을 증가하게 하며, 이 응력은 응력파와 간섭하여 암석을 파괴하는 것이다.",
9,가스폭발,"가연성가스가 폭발하는 것으로 주로 메탄가스 폭발을 말하며, 메탄가스가 공기 중에 9.5%일 때 폭발이 가장 심하게 일어난다.",Gas explosion
10,가연성가스,"석탄 광산의 갱내에는 메탄가스와 수소 등의 가연성가스가 발생하며, 채탄 작업을 할 때 석탄가루가 공기 중에 떠올라 섞이면서 불꽃과 접촉하게 되면 탄진 폭발을 일으키게 된다.",가연성가스
